,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
33,HIV,Cough,Weight loss,Rash,Muscle aches and joint pain,Sore throat and painful mouth sores,Fever,Diarrhea,Night sweats,Headache,Swollen lymph glands on the neck,0,0
34,HIV,Diarrhea,Rash,Night sweats,Headache,Muscle aches and joint pain,Cough,Fever,Weight loss,Sore throat and painful mouth sores,Swollen lymph glands on the neck,0,0
35,HIV,Cough,Fever,Headache,Sore throat and painful mouth sores,Rash,Muscle aches and joint pain,Weight loss,Diarrhea,Swollen lymph glands on the neck,Night sweats,0,0
36,HIV,Sore throat and painful mouth sores,Muscle aches and joint pain,Fever,Night sweats,Rash,Diarrhea,Headache,Cough,Swollen lymph glands on the neck,Weight loss,0,0
37,HIV,Fever,Weight loss,Sore throat and painful mouth sores,Cough,Swollen lymph glands on the neck,Night sweats,Diarrhea,Muscle aches and joint pain,Headache,Rash,0,0
38,HIV,Diarrhea,Fever,Sore throat and painful mouth sores,Rash,Weight loss,Cough,Headache,Night sweats,Swollen lymph glands on the neck,Muscle aches and joint pain,0,0
39,HIV,Night sweats,Weight loss,Diarrhea,Headache,Muscle aches and joint pain,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Fever,Rash,Cough,0,0
40,HIV,Rash,Muscle aches and joint pain,Night sweats,Weight loss,Headache,Cough,Swollen lymph glands on the neck,Diarrhea,Fever,Sore throat and painful mouth sores,0,0
41,HIV,Diarrhea,Rash,Sore throat and painful mouth sores,Fever,Swollen lymph glands on the neck,Cough,Headache,Weight loss,Night sweats,Muscle aches and joint pain,0,0
42,HIV,Weight loss,Fever,Diarrhea,Cough,Sore throat and painful mouth sores,Night sweats,Rash,Muscle aches and joint pain,Swollen lymph glands on the neck,Headache,0,0
43,HIV,Rash,Night sweats,Sore throat and painful mouth sores,Weight loss,Swollen lymph glands on the neck,Cough,Muscle aches and joint pain,Diarrhea,Fever,Headache,0,0
44,HIV,Rash,Night sweats,Muscle aches and joint pain,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Weight loss,Fever,Cough,Headache,Diarrhea,0,0
45,HIV,Rash,Cough,Muscle aches and joint pain,Weight loss,Diarrhea,Sore throat and painful mouth sores,Headache,Swollen lymph glands on the neck,Night sweats,Fever,0,0
46,HIV,Fever,Night sweats,Headache,Sore throat and painful mouth sores,Diarrhea,Rash,Weight loss,Muscle aches and joint pain,Cough,Swollen lymph glands on the neck,0,0
47,HIV,Muscle aches and joint pain,Fever,Sore throat and painful mouth sores,Weight loss,Swollen lymph glands on the neck,Cough,Headache,Night sweats,Rash,Diarrhea,0,0
48,HIV,Cough,Night sweats,Muscle aches and joint pain,Sore throat and painful mouth sores,Fever,Swollen lymph glands on the neck,Headache,Diarrhea,Weight loss,Rash,0,0
49,HIV,Muscle aches and joint pain,Sore throat and painful mouth sores,Weight loss,Cough,Diarrhea,Rash,Fever,Night sweats,Swollen lymph glands on the neck,Headache,0,0
50,HIV,Diarrhea,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Muscle aches and joint pain,Cough,Rash,Night sweats,Headache,Weight loss,Fever,0,0
51,HIV,Diarrhea,Muscle aches and joint pain,Headache,Rash,Fever,Swollen lymph glands on the neck,Night sweats,Sore throat and painful mouth sores,Cough,Weight loss,0,0
52,HIV,Night sweats,Rash,Diarrhea,Fever,Weight loss,Sore throat and painful mouth sores,Muscle aches and joint pain,Cough,Headache,Swollen lymph glands on the neck,0,0
53,HIV,Weight loss,Night sweats,Muscle aches and joint pain,Fever,Rash,Cough,Sore throat and painful mouth sores,Diarrhea,Swollen lymph glands on the neck,Headache,0,0
54,HIV,Swollen lymph glands on the neck,Fever,Night sweats,Diarrhea,Headache,Muscle aches and joint pain,Weight loss,Cough,Sore throat and painful mouth sores,Rash,0,0
55,HIV,Night sweats,Muscle aches and joint pain,Headache,Fever,Weight loss,Cough,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Diarrhea,Rash,0,0
56,HIV,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Diarrhea,Fever,Headache,Muscle aches and joint pain,Weight loss,Night sweats,Cough,Rash,0,0
57,HIV,Swollen lymph glands on the neck,Muscle aches and joint pain,Fever,Cough,Sore throat and painful mouth sores,Headache,Night sweats,Weight loss,Diarrhea,Rash,0,0
58,HIV,Cough,Fever,Diarrhea,Weight loss,Night sweats,Sore throat and painful mouth sores,Rash,Headache,Swollen lymph glands on the neck,Muscle aches and joint pain,0,0
59,HIV,Headache,Sore throat and painful mouth sores,Fever,Night sweats,Muscle aches and joint pain,Diarrhea,Swollen lymph glands on the neck,Weight loss,Cough,Rash,0,0
60,HIV,Weight loss,Swollen lymph glands on the neck,Diarrhea,Cough,Fever,Rash,Headache,Muscle aches and joint pain,Sore throat and painful mouth sores,Night sweats,0,0
61,HIV,Weight loss,Headache,Rash,Diarrhea,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Muscle aches and joint pain,Cough,Night sweats,Fever,0,0
62,HIV,Diarrhea,Sore throat and painful mouth sores,Weight loss,Rash,Muscle aches and joint pain,Headache,Cough,Fever,Swollen lymph glands on the neck,Night sweats,0,0
63,HIV,Fever,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Weight loss,Cough,Rash,Night sweats,Muscle aches and joint pain,Headache,Diarrhea,0,0
64,HIV,Rash,Headache,Weight loss,Cough,Fever,Diarrhea,Muscle aches and joint pain,Night sweats,Sore throat and painful mouth sores,Swollen lymph glands on the neck,0,0
65,HIV,Headache,Cough,Swollen lymph glands on the neck,Weight loss,Sore throat and painful mouth sores,Fever,Rash,Diarrhea,Night sweats,Muscle aches and joint pain,0,0
66,HIV,Night sweats,Diarrhea,Headache,Swollen lymph glands on the neck,Fever,Cough,Weight loss,Rash,Sore throat and painful mouth sores,Muscle aches and joint pain,0,0
67,HIV,Fever,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Diarrhea,Rash,Headache,Weight loss,Muscle aches and joint pain,Cough,Night sweats,0,0
68,HIV,Swollen lymph glands on the neck,Headache,Muscle aches and joint pain,Cough,Night sweats,Weight loss,Rash,Fever,Sore throat and painful mouth sores,Diarrhea,0,0
69,HIV,Night sweats,Fever,Swollen lymph glands on the neck,Cough,Diarrhea,Sore throat and painful mouth sores,Headache,Weight loss,Muscle aches and joint pain,Rash,0,0
70,HIV,Rash,Cough,Muscle aches and joint pain,Fever,Swollen lymph glands on the neck,Headache,Weight loss,Diarrhea,Sore throat and painful mouth sores,Night sweats,0,0
71,HIV,Diarrhea,Cough,Weight loss,Fever,Headache,Swollen lymph glands on the neck,Muscle aches and joint pain,Rash,Sore throat and painful mouth sores,Night sweats,0,0
72,HIV,Headache,Fever,Cough,Sore throat and painful mouth sores,Night sweats,Swollen lymph glands on the neck,Muscle aches and joint pain,Weight loss,Diarrhea,Rash,0,0
73,HIV,Muscle aches and joint pain,Night sweats,Fever,Headache,Rash,Swollen lymph glands on the neck,Diarrhea,Cough,Weight loss,Sore throat and painful mouth sores,0,0
74,HIV,Night sweats,Muscle aches and joint pain,Diarrhea,Cough,Weight loss,Headache,Rash,Sore throat and painful mouth sores,Fever,Swollen lymph glands on the neck,0,0
75,HIV,Diarrhea,Muscle aches and joint pain,Rash,Sore throat and painful mouth sores,Night sweats,Cough,Swollen lymph glands on the neck,Headache,Weight loss,Fever,0,0
76,HIV,Weight loss,Swollen lymph glands on the neck,Rash,Headache,Sore throat and painful mouth sores,Fever,Cough,Muscle aches and joint pain,Night sweats,Diarrhea,0,0
77,HIV,Sore throat and painful mouth sores,Headache,Muscle aches and joint pain,Cough,Diarrhea,Weight loss,Rash,Fever,Night sweats,Swollen lymph glands on the neck,0,0
78,HIV,Sore throat and painful mouth sores,Fever,Weight loss,Headache,Rash,Swollen lymph glands on the neck,Diarrhea,Cough,Night sweats,Muscle aches and joint pain,0,0
79,HIV,Swollen lymph glands on the neck,Rash,Headache,Fever,Weight loss,Night sweats,Diarrhea,Sore throat and painful mouth sores,Muscle aches and joint pain,Cough,0,0
80,HIV,Diarrhea,Headache,Rash,Night sweats,Swollen lymph glands on the neck,Fever,Sore throat and painful mouth sores,Cough,Muscle aches and joint pain,Weight loss,0,0
81,HIV,Rash,Sore throat and painful mouth sores,Headache,Night sweats,Cough,Fever,Diarrhea,Weight loss,Swollen lymph glands on the neck,Muscle aches and joint pain,0,0
82,HIV,Cough,Headache,Sore throat and painful mouth sores,Fever,Weight loss,Night sweats,Diarrhea,Muscle aches and joint pain,Swollen lymph glands on the neck,Rash,0,0
83,HIV,Rash,Cough,Headache,Fever,Night sweats,Diarrhea,Sore throat and painful mouth sores,Swollen lymph glands on the neck,Muscle aches and joint pain,Weight loss,0,0
84,HIV,Fever,Diarrhea,Weight loss,Swollen lymph glands on the neck,Night sweats,Headache,Sore throat and painful mouth sores,Rash,Muscle aches and joint pain,Cough,0,0
85,HIV,Diarrhea,Rash,Muscle aches and joint pain,Swollen lymph glands on the neck,Sore throat and painful mouth sores,Fever,Cough,Night sweats,Weight loss,Headache,0,0
86,HIV,Rash,Sore throat and painful mouth sores,Headache,Muscle aches and joint pain,Swollen lymph glands on the neck,Fever,Cough,Diarrhea,Weight loss,Night sweats,0,0
87,HIV,Swollen lymph glands on the neck,Muscle aches and joint pain,Weight loss,Fever,Sore throat and painful mouth sores,Headache,Rash,Diarrhea,Cough,Night sweats,0,0
88,HIV,Headache,Swollen lymph glands on the neck,Weight loss,Rash,Muscle aches and joint pain,Diarrhea,Cough,Night sweats,Sore throat and painful mouth sores,Fever,0,0
89,HIV,Diarrhea,Rash,Cough,Weight loss,Swollen lymph glands on the neck,Muscle aches and joint pain,Sore throat and painful mouth sores,Night sweats,Fever,Headache,0,0
90,HIV,Night sweats,Sore throat and painful mouth sores,Muscle aches and joint pain,Weight loss,Headache,Swollen lymph glands on the neck,Diarrhea,Fever,Cough,Rash,0,0
91,HIV,Diarrhea,Muscle aches and joint pain,Cough,Headache,Rash,Sore throat and painful mouth sores,Night sweats,Weight loss,Fever,Swollen lymph glands on the neck,0,0
92,HIV,Swollen lymph glands on the neck,Diarrhea,Rash,Fever,Headache,Cough,Weight loss,Sore throat and painful mouth sores,Muscle aches and joint pain,Night sweats,0,0
93,HIV,Diarrhea,Swollen lymph glands on the neck,Headache,Fever,Sore throat and painful mouth sores,Muscle aches and joint pain,Rash,Cough,Weight loss,Night sweats,0,0
94,HIV,Muscle aches and joint pain,Cough,Diarrhea,Weight loss,Sore throat and painful mouth sores,Rash,Swollen lymph glands on the neck,Night sweats,Fever,Headache,0,0
95,HIV,Swollen lymph glands on the neck,Muscle aches and joint pain,Headache,Cough,Diarrhea,Weight loss,Sore throat and painful mouth sores,Rash,Night sweats,Fever,0,0
96,HIV,Muscle aches and joint pain,Fever,Night sweats,Swollen lymph glands on the neck,Weight loss,Cough,Rash,Diarrhea,Headache,Sore throat and painful mouth sores,0,0
97,HIV,Cough,Muscle aches and joint pain,Weight loss,Diarrhea,Rash,Fever,Sore throat and painful mouth sores,Night sweats,Swollen lymph glands on the neck,Headache,0,0
98,HIV,Rash,Night sweats,Diarrhea,Muscle aches and joint pain,Fever,Headache,Cough,Swollen lymph glands on the neck,Weight loss,Sore throat and painful mouth sores,0,0
99,HIV,Sore throat and painful mouth sores,Diarrhea,Fever,Swollen lymph glands on the neck,Headache,Rash,Muscle aches and joint pain,Cough,Night sweats,Weight loss,0,0
100,Hepatitis,Loss of appetite,Dark colored urine,Yellowing of the skin,Malaise,Fever,Nausea,Abdominal discomfort,Whites of the eyes,Fatigue,Joint pain,0,0
101,Hepatitis,Loss of appetite,Joint pain,Malaise,Fever,Fatigue,Abdominal discomfort,Nausea,Yellowing of the skin,Whites of the eyes,Dark colored urine,0,0
102,Hepatitis,Yellowing of the skin,Nausea,Fever,Abdominal discomfort,Whites of the eyes,Malaise,Joint pain,Dark colored urine,Loss of appetite,Fatigue,0,0
103,Hepatitis,Nausea,Loss of appetite,Malaise,Whites of the eyes,Fatigue,Abdominal discomfort,Yellowing of the skin,Joint pain,Dark colored urine,Fever,0,0
104,Hepatitis,Whites of the eyes,Fever,Yellowing of the skin,Loss of appetite,Abdominal discomfort,Dark colored urine,Malaise,Joint pain,Fatigue,Nausea,0,0
105,Hepatitis,Nausea,Fatigue,Whites of the eyes,Joint pain,Abdominal discomfort,Fever,Yellowing of the skin,Loss of appetite,Dark colored urine,Malaise,0,0
106,Hepatitis,Whites of the eyes,Fatigue,Yellowing of the skin,Dark colored urine,Nausea,Joint pain,Malaise,Fever,Loss of appetite,Abdominal discomfort,0,0
107,Hepatitis,Dark colored urine,Loss of appetite,Fatigue,Joint pain,Abdominal discomfort,Malaise,Yellowing of the skin,Nausea,Fever,Whites of the eyes,0,0
108,Hepatitis,Dark colored urine,Yellowing of the skin,Loss of appetite,Abdominal discomfort,Fever,Malaise,Fatigue,Nausea,Whites of the eyes,Joint pain,0,0
109,Hepatitis,Malaise,Joint pain,Dark colored urine,Fatigue,Whites of the eyes,Abdominal discomfort,Yellowing of the skin,Fever,Nausea,Loss of appetite,0,0
110,Hepatitis,Yellowing of the skin,Malaise,Nausea,Fever,Joint pain,Fatigue,Loss of appetite,Whites of the eyes,Abdominal discomfort,Dark colored urine,0,0
111,Hepatitis,Fatigue,Dark colored urine,Abdominal discomfort,Loss of appetite,Whites of the eyes,Joint pain,Fever,Malaise,Nausea,Yellowing of the skin,0,0
112,Hepatitis,Yellowing of the skin,Nausea,Dark colored urine,Abdominal discomfort,Fatigue,Fever,Malaise,Loss of appetite,Joint pain,Whites of the eyes,0,0
113,Hepatitis,Fever,Malaise,Abdominal discomfort,Nausea,Fatigue,Whites of the eyes,Joint pain,Dark colored urine,Yellowing of the skin,Loss of appetite,0,0
114,Hepatitis,Malaise,Whites of the eyes,Yellowing of the skin,Dark colored urine,Nausea,Fever,Fatigue,Loss of appetite,Joint pain,Abdominal discomfort,0,0
115,Hepatitis,Fatigue,Dark colored urine,Joint pain,Fever,Abdominal discomfort,Nausea,Yellowing of the skin,Whites of the eyes,Malaise,Loss of appetite,0,0
116,Hepatitis,Abdominal discomfort,Fever,Fatigue,Malaise,Loss of appetite,Joint pain,Whites of the eyes,Dark colored urine,Nausea,Yellowing of the skin,0,0
117,Hepatitis,Joint pain,Dark colored urine,Abdominal discomfort,Loss of appetite,Fever,Nausea,Malaise,Yellowing of the skin,Fatigue,Whites of the eyes,0,0
118,Hepatitis,Dark colored urine,Whites of the eyes,Yellowing of the skin,Nausea,Malaise,Fatigue,Fever,Loss of appetite,Joint pain,Abdominal discomfort,0,0
119,Hepatitis,Abdominal discomfort,Dark colored urine,Fatigue,Whites of the eyes,Malaise,Joint pain,Loss of appetite,Nausea,Yellowing of the skin,Fever,0,0
120,Hepatitis,Dark colored urine,Loss of appetite,Nausea,Malaise,Abdominal discomfort,Fatigue,Joint pain,Fever,Whites of the eyes,Yellowing of the skin,0,0
121,Hepatitis,Malaise,Abdominal discomfort,Fever,Whites of the eyes,Fatigue,Dark colored urine,Yellowing of the skin,Loss of appetite,Joint pain,Nausea,0,0
122,Hepatitis,Malaise,Abdominal discomfort,Whites of the eyes,Loss of appetite,Dark colored urine,Nausea,Fatigue,Fever,Yellowing of the skin,Joint pain,0,0
123,Hepatitis,Yellowing of the skin,Whites of the eyes,Dark colored urine,Nausea,Fatigue,Joint pain,Abdominal discomfort,Malaise,Loss of appetite,Fever,0,0
124,Hepatitis,Abdominal discomfort,Nausea,Whites of the eyes,Dark colored urine,Yellowing of the skin,Joint pain,Fever,Fatigue,Malaise,Loss of appetite,0,0
125,Hepatitis,Dark colored urine,Abdominal discomfort,Fatigue,Joint pain,Loss of appetite,Yellowing of the skin,Nausea,Whites of the eyes,Fever,Malaise,0,0
126,Hepatitis,Malaise,Yellowing of the skin,Nausea,Joint pain,Loss of appetite,Fever,Dark colored urine,Fatigue,Abdominal discomfort,Whites of the eyes,0,0
127,Hepatitis,Nausea,Joint pain,Dark colored urine,Fatigue,Whites of the eyes,Fever,Loss of appetite,Abdominal discomfort,Yellowing of the skin,Malaise,0,0
128,Hepatitis,Fever,Fatigue,Nausea,Abdominal discomfort,Dark colored urine,Yellowing of the skin,Loss of appetite,Malaise,Joint pain,Whites of the eyes,0,0
129,Hepatitis,Yellowing of the skin,Fatigue,Joint pain,Loss of appetite,Nausea,Fever,Whites of the eyes,Dark colored urine,Malaise,Abdominal discomfort,0,0
130,Hepatitis,Nausea,Joint pain,Fever,Abdominal discomfort,Whites of the eyes,Yellowing of the skin,Malaise,Loss of appetite,Dark colored urine,Fatigue,0,0
131,Hepatitis,Fatigue,Joint pain,Nausea,Whites of the eyes,Loss of appetite,Malaise,Fever,Yellowing of the skin,Dark colored urine,Abdominal discomfort,0,0
132,Hepatitis,Fatigue,Abdominal discomfort,Malaise,Loss of appetite,Yellowing of the skin,Nausea,Fever,Joint pain,Whites of the eyes,Dark colored urine,0,0
133,Hepatitis,Fever,Joint pain,Dark colored urine,Yellowing of the skin,Whites of the eyes,Nausea,Malaise,Fatigue,Loss of appetite,Abdominal discomfort,0,0
134,Hepatitis,Whites of the eyes,Loss of appetite,Nausea,Abdominal discomfort,Malaise,Fever,Yellowing of the skin,Dark colored urine,Joint pain,Fatigue,0,0
135,Hepatitis,Dark colored urine,Nausea,Abdominal discomfort,Whites of the eyes,Fever,Yellowing of the skin,Malaise,Joint pain,Loss of appetite,Fatigue,0,0
136,Hepatitis,Nausea,Joint pain,Fever,Yellowing of the skin,Malaise,Fatigue,Dark colored urine,Abdominal discomfort,Whites of the eyes,Loss of appetite,0,0
137,Hepatitis,Joint pain,Malaise,Fever,Abdominal discomfort,Dark colored urine,Yellowing of the skin,Whites of the eyes,Loss of appetite,Fatigue,Nausea,0,0
138,Hepatitis,Dark colored urine,Fatigue,Whites of the eyes,Nausea,Abdominal discomfort,Yellowing of the skin,Malaise,Joint pain,Loss of appetite,Fever,0,0
139,Hepatitis,Dark colored urine,Abdominal discomfort,Nausea,Loss of appetite,Fever,Yellowing of the skin,Whites of the eyes,Joint pain,Malaise,Fatigue,0,0
140,Hepatitis,Nausea,Malaise,Fatigue,Abdominal discomfort,Loss of appetite,Yellowing of the skin,Joint pain,Whites of the eyes,Fever,Dark colored urine,0,0
141,Hepatitis,Dark colored urine,Nausea,Joint pain,Whites of the eyes,Malaise,Fatigue,Loss of appetite,Yellowing of the skin,Abdominal discomfort,Fever,0,0
142,Hepatitis,Abdominal discomfort,Malaise,Loss of appetite,Fever,Joint pain,Yellowing of the skin,Fatigue,Dark colored urine,Whites of the eyes,Nausea,0,0
143,Hepatitis,Loss of appetite,Joint pain,Nausea,Malaise,Yellowing of the skin,Whites of the eyes,Abdominal discomfort,Fever,Dark colored urine,Fatigue,0,0
144,Hepatitis,Nausea,Malaise,Dark colored urine,Whites of the eyes,Joint pain,Loss of appetite,Fever,Fatigue,Abdominal discomfort,Yellowing of the skin,0,0
145,Hepatitis,Loss of appetite,Whites of the eyes,Fatigue,Dark colored urine,Malaise,Joint pain,Abdominal discomfort,Nausea,Fever,Yellowing of the skin,0,0
146,Hepatitis,Fever,Abdominal discomfort,Yellowing of the skin,Malaise,Joint pain,Dark colored urine,Whites of the eyes,Nausea,Fatigue,Loss of appetite,0,0
147,Hepatitis,Nausea,Loss of appetite,Yellowing of the skin,Abdominal discomfort,Dark colored urine,Malaise,Fever,Fatigue,Joint pain,Whites of the eyes,0,0
148,Hepatitis,Dark colored urine,Fever,Malaise,Nausea,Whites of the eyes,Loss of appetite,Abdominal discomfort,Yellowing of the skin,Joint pain,Fatigue,0,0
149,Hepatitis,Dark colored urine,Abdominal discomfort,Fatigue,Loss of appetite,Nausea,Joint pain,Yellowing of the skin,Malaise,Whites of the eyes,Fever,0,0
150,Hepatitis,Abdominal discomfort,Malaise,Loss of appetite,Nausea,Fever,Dark colored urine,Whites of the eyes,Fatigue,Joint pain,Yellowing of the skin,0,0
151,Hepatitis,Loss of appetite,Joint pain,Fever,Nausea,Dark colored urine,Whites of the eyes,Malaise,Yellowing of the skin,Fatigue,Abdominal discomfort,0,0
152,Hepatitis,Fever,Dark colored urine,Loss of appetite,Abdominal discomfort,Nausea,Whites of the eyes,Malaise,Yellowing of the skin,Joint pain,Fatigue,0,0
153,Hepatitis,Abdominal discomfort,Whites of the eyes,Nausea,Fatigue,Fever,Joint pain,Loss of appetite,Yellowing of the skin,Dark colored urine,Malaise,0,0
154,Hepatitis,Whites of the eyes,Yellowing of the skin,Dark colored urine,Abdominal discomfort,Loss of appetite,Malaise,Fever,Joint pain,Nausea,Fatigue,0,0
155,Hepatitis,Loss of appetite,Fatigue,Joint pain,Fever,Whites of the eyes,Abdominal discomfort,Yellowing of the skin,Malaise,Dark colored urine,Nausea,0,0
156,Hepatitis,Yellowing of the skin,Dark colored urine,Fatigue,Malaise,Joint pain,Fever,Nausea,Whites of the eyes,Abdominal discomfort,Loss of appetite,0,0
157,Hepatitis,Dark colored urine,Nausea,Joint pain,Abdominal discomfort,Fatigue,Yellowing of the skin,Whites of the eyes,Fever,Loss of appetite,Malaise,0,0
158,Hepatitis,Dark colored urine,Abdominal discomfort,Malaise,Yellowing of the skin,Fatigue,Nausea,Loss of appetite,Joint pain,Whites of the eyes,Fever,0,0
159,Hepatitis,Malaise,Joint pain,Dark colored urine,Fatigue,Fever,Nausea,Yellowing of the skin,Whites of the eyes,Abdominal discomfort,Loss of appetite,0,0
160,Hepatitis,Whites of the eyes,Dark colored urine,Malaise,Yellowing of the skin,Fever,Fatigue,Loss of appetite,Nausea,Joint pain,Abdominal discomfort,0,0
161,Hepatitis,Whites of the eyes,Abdominal discomfort,Loss of appetite,Malaise,Joint pain,Fatigue,Nausea,Yellowing of the skin,Fever,Dark colored urine,0,0
162,Hepatitis,Whites of the eyes,Joint pain,Fatigue,Nausea,Malaise,Dark colored urine,Loss of appetite,Yellowing of the skin,Abdominal discomfort,Fever,0,0
